Region	Parent company / owner	Segment(s)	Category	Status	Notes
Asia-Pacific	Telkom Indonesia	ISP CPE	ISP CPE / broadband gateway	Brand-only	State telco branded ONT-router
North America	Nokia	Optical transport	Service provider	Brand absorbed	Nokia completed the $2.3bn acquisition in February 2025
Asia-Pacific	Independent	Industrial; Cellular; IoT	Industrial / IoT	Active	IR and VG series industrial IoT routers
North America	Independent (NASDAQ: INSG)	4G/5G CPE; Hotspots	Cellular / 5G / mobile	Active	Owns the MiFi trademark; ex-Novatel Wireless
Asia-Pacific	Independent	Data centre networking	Data centre / disaggregated / silicon	Active	Primarily servers; some DC networking gear
Europe	Independent	Industrial; Cellular	Industrial / IoT	Active	M2M/IIoT cellular routers, strong in German industry
Latin America	Independent (B3: INTB3)	Consumer; Mesh; SMB; FTTH CPE	ISP CPE / broadband gateway	Active	Major Brazilian networking, security and telecom brand
Asia-Pacific	Independent	Marine; Satellite	Specialised (military / satellite / mobility)	Active	Marine VSAT antennas with network routing
Europe	IC Intracom	Consumer / Prosumer	SMB / prosumer	Active (niche)	IC Intracom sister networking brand
Europe	Bankrupt 2019	ISP CPE	ISP CPE / broadband gateway	Defunct	Swedish CPE maker; Iopsys software lineage lives on
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Indian consumer electronics brand with routers
Asia-Pacific	Independent	ODM / EMS	ODM / white-label	Active	Electronics ODM with networking lines
North America	Independent	Consumer / Prosumer	SMB / prosumer	Active (niche)	KVM/peripherals brand with some router products
North America	ACCESS Co.	Disaggregated NOS	Data centre / disaggregated / silicon	Active	OcNOS runs on many whitebox routers
Asia-Pacific	Tenda group	Prosumer / SMB Wi-Fi	SMB / prosumer	Active	Chinese Wi-Fi networking export brand
Europe	Community project	Open-source router/firewall	Enterprise / SD-WAN	Active	Hardened Linux firewall-router distribution
Asia-Pacific	EFM Networks	Consumer Wi-Fi	Consumer / retail	Active	Dominant South Korean home router brand
North America	Independent (NASDAQ: IRDM)	Satellite	Specialised (military / satellite / mobility)	Active	GO! and Certus router-hotspot terminals
Russia & CIS	Independent	Cellular; Industrial	Industrial / IoT	Active	M2M and industrial LTE routers
Asia-Pacific	Government of India (PSU)	SP; BharatNet	Other	Active	PSU manufacturer, BharatNet router partner with HFCL
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Chinese budget router brand
Asia-Pacific	Reliance Jio	4G/5G CPE; FTTH CPE	ISP CPE / broadband gateway	Brand-only	Jio-branded hotspots and ONT-routers, OEM and in-house designs
North America	Hewlett Packard Enterprise (acquired July 2025)	SP edge; SP core; Data centre; Enterprise	Service provider	Active	MX, PTX, ACX, SRX; HPE closed the $14bn acquisition 2 July 2025
North America	HPE / Juniper	SD-WAN	Enterprise / SD-WAN	Active	Ex-128 Technology, acquired 2020
Asia-Pacific	Independent	ODM; ISP CPE; STB	ODM / white-label	Active	Korean CPE and STB maker supplying global operators
Asia-Pacific	Independent	Consumer / DSL CPE	Consumer / retail	Active (niche)	Chinese budget router/modem exporter
Russia & CIS	Independent	Consumer Wi-Fi	Consumer / retail	Active	Spun out of Zyxel's Russian operations c.2019; dominant in Russia/CIS
Europe	Independent	Military; Vehicle	Specialised (military / satellite / mobility)	Active	Voyager and TDMR modular tactical routers
Europe	Kontron AG	Industrial; IoT	Industrial / IoT	Active	Edge computing gateways marketed as routers
Asia-Pacific	Beijer Electronics	Industrial	Industrial / IoT	Active	DIN-rail industrial routers and switches
Europe	KPN	ISP CPE	ISP CPE / broadband gateway	Brand-only	Dutch telco branded router
Russia & CIS	Independent	Cellular	Cellular / 5G / mobile	Active	LTE routers with integrated modems and antennas
North America	Independent	Marine; Satellite	Specialised (military / satellite / mobility)	Active	Marine VSAT with integrated IP routing
Russia & CIS	Kyivstar / VEON	ISP CPE	ISP CPE / broadband gateway	Brand-only	Ukrainian ISP branded router
Asia-Pacific	Independent (SSE: 300353)	Industrial; Rail	Industrial / IoT	Active	Industrial network routers and switches
Europe	Rohde & Schwarz	Enterprise branch; SMB; SD-WAN	Enterprise / SD-WAN	Active	German enterprise VPN router vendor, strong public-sector base
Asia-Pacific	Independent	uCPE / network appliances	Data centre / disaggregated / silicon	Active	Whitebox appliances widely used as SD-WAN routers
Asia-Pacific	Independent	Industrial	Industrial / IoT	Active	Industrial Ethernet routers and switches
Europe	Intel (2015), then MaxLinear (2020)	CPE silicon	Data centre / disaggregated / silicon	Brand retired	Infineon spinoff; DSL and gateway chipsets
North America	Independent (NASDAQ: LTRX)	IoT; Industrial; Out-of-band	Industrial / IoT	Active	Cellular gateways and edge routers
North America	Tellabs (2005)	Legacy SP edge	Legacy / acquired	Defunct	Edge router startup
Asia-Pacific	Digital Data Communications	Consumer / SMB	SMB / prosumer	Active (niche)	German-managed, Taiwan-made value networking brand
Global / multi-country	Community	Open-source firmware	Enterprise / SD-WAN	Active (niche)	FSF-endorsed fully free router firmware
Asia-Pacific	Link3 Technologies	ISP CPE	ISP CPE / broadband gateway	Brand-only	Bangladeshi ISP branded routers
North America	Fortinet (wholly owned since Jan 2025)	Consumer Wi-Fi; Mesh; SMB	SMB / prosumer	Active	Ownership chain: founders to Cisco (2003) to Belkin (2013) to Foxconn (2018) to Fortinet (2025)
Asia-Pacific	Elecom Group	Consumer Wi-Fi	Legacy / acquired	Active	Japanese networking brand absorbed by Elecom
North America	Nokia (via Alcatel-Lucent)	Legacy SP	Legacy / acquired	Brand retired	AT&T spinoff; merged into Alcatel-Lucent 2006
North America	Wound down	Mesh	Consumer / retail	Defunct	Early crowdfunded mesh Wi-Fi startup
Asia-Pacific	Asus	Mesh	Consumer / retail	Legacy	Sub-brand: earlier Asus mesh line, superseded by ZenWiFi
Europe	Deutsche Telekom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Hungarian telco branded router
Asia-Pacific	State-linked (Sichuan)	Enterprise; SP edge	Service provider	Active	Major Chinese domestic router and switch manufacturer
Asia-Pacific	Independent	Utility/SCADA; Industrial	Industrial / IoT	Active	Power/utility wireless routers and RTUs
Europe	IC Intracom	Consumer / Prosumer	SMB / prosumer	Active (niche)	IC Intracom house networking brand
Europe	Ericsson (2006)	Legacy SP	Legacy / acquired	Defunct	Former GEC telecom arm
Middle East & Africa	Maroc Telecom / e&	ISP CPE	ISP CPE / broadband gateway	Brand-only	Moroccan incumbent branded gateways
North America	Independent	Router and switch silicon	Data centre / disaggregated / silicon	Active	Prestera and OCTEON networking silicon
Asia-Pacific	Independent	Industrial; Cellular; Telecom	Industrial / IoT	Active	Indian telecom and security systems maker
Europe	Independent	Cellular; Industrial	Industrial / IoT	Active	M2M router and gateway manufacturer
Middle East & Africa	Mustek	Consumer Wi-Fi	Consumer / retail	Active (niche)	South African distributor house brands including networking
North America	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Budget US retail Wi-Fi brand
Asia-Pacific	Independent	Router silicon	Data centre / disaggregated / silicon	Active	Filogic Wi-Fi 6/7 router SoCs
Europe	Altice Portugal	ISP CPE	ISP CPE / broadband gateway	Brand-only	Portuguese telco branded router/ONT
Asia-Pacific	TP-Link	Consumer Wi-Fi	Consumer / retail	Active	TP-Link's China-domestic budget sub-brand
Asia-Pacific	TP-Link	Consumer Wi-Fi	Consumer / retail	Active	Separate budget-tier brand for emerging markets
North America	Fortinet (2015)	Legacy enterprise WLAN	Legacy / acquired	Defunct	Wi-Fi vendor
North America	Meta Platforms	Cloud DC in-house	Data centre / disaggregated / silicon	Active	FBOSS software on OCP whitebox hardware
Europe	Microsoft	Virtual networking software	Other	Brand absorbed	Acquired 2020
Russia & CIS	Independent	Cellular; Industrial	Industrial / IoT	Active (niche)	Russian industrial cellular router maker
North America	Microsoft	Cloud DC in-house; Open NOS	Data centre / disaggregated / silicon	Active	Created and open-sourced SONiC
Europe	Independent	Enterprise; ISP; Prosumer; SMB	Enterprise / SD-WAN	Active	RouterOS; CCR and CHR very widely used by regional ISPs
Europe	Independent (STO: MILDEF)	Military	Specialised (military / satellite / mobility)	Active	RM-series rugged tactical routers
Asia-Pacific	Independent	IoT; Cellular; Industrial	Industrial / IoT	Active	IoT sensors plus cellular industrial routers
North America	Independent (NASDAQ: MINM)	Retail modem-router; Software	Other	Active (distressed)	Holds the Motorola networking licence
Asia-Pacific	Zyxel group spinoff	ODM / ISP CPE	ODM / white-label	Active	Builds gateways for global operators
North America	Independent	4G/5G router	Cellular / 5G / mobile	Active (niche)	US cellular router brand popular with RV and rural users
North America	Brand licensed to Minim / Zoom Telephonics	Retail cable modem-router	ISP CPE / broadband gateway	Active	Motorola-branded modems and routers sold under licence
North America	Arris (2013), now CommScope	Legacy ISP CPE	ISP CPE / broadband gateway	Brand retired	Motorola's cable and CPE unit
Latin America	Telefónica / America Movil	ISP CPE	ISP CPE / broadband gateway	Brand-only	Chilean ISP branded routers
Europe	Telefónica	ISP CPE	ISP CPE / broadband gateway	Brand-only	Spanish telco branded router
Asia-Pacific	Independent	Industrial; Utility/SCADA; Rail	Industrial / IoT	Active	Leading DIN-rail industrial secure router brand
North America	Franklin Wireless (licensed brand)	4G/5G hotspots	Cellular / 5G / mobile	Active (niche)	T-Mobile-focused mobile hotspot brand
Middle East & Africa	MTN Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	Pan-African operator branded MiFi and home routers
Russia & CIS	MTS	ISP CPE	ISP CPE / broadband gateway	Brand-only	Russian operator branded routers
North America	Independent	Cellular; Industrial; IoT	Industrial / IoT	Active	MultiConnect M2M cellular routers and gateways
Latin America	Independent	Consumer Wi-Fi	Consumer / retail	Active	Large Brazilian consumer electronics brand
North America	Independent	Satellite; Military	Specialised (military / satellite / mobility)	Active	Iridium-based satellite router terminals
Russia & CIS	Independent	SP access; Transport	Service provider	Active	Access and transport telecom equipment maker
Asia-Pacific	National Telecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Thai state telco branded CPE
Asia-Pacific	NEC Platforms	Consumer Wi-Fi; ISP CPE	ISP CPE / broadband gateway	Active	NEC's long-running Japanese home router line
Asia-Pacific	Independent	SP core; SP edge; Optical	Service provider	Active	IP/MPLS routers and optical transport
Middle East & Africa	Independent	SP; Enterprise; Integration	Enterprise / SD-WAN	Active	Turkish telecom equipment maker and integrator
Asia-Pacific	Independent	Whitebox hardware	Data centre / disaggregated / silicon	Active	Bare-metal switch/router hardware vendor
Oceania	DZS Inc.	Fixed wireless; ISP CPE	ISP CPE / broadband gateway	Active	Sold out of Casa Systems' bankruptcy to DZS for $7m in 2024
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Established Chinese consumer networking brand
North America	Independent	Virtual router; Firewall	Enterprise / SD-WAN	Active	pfSense Plus and TNSR software routers and appliances
North America	Independent (NASDAQ: NTGR)	Consumer Wi-Fi; Mesh; SMB; 5G	Cellular / 5G / mobile	Active	Long-standing US networking brand; Nighthawk/Orbi sub-brands
North America	Netgear	SMB	SMB / prosumer	Active	Sub-brand: Netgear's business networking line
Asia-Pacific	Independent (Netcore group)	Consumer Wi-Fi	Consumer / retail	Active	Budget Chinese Wi-Fi brand, large in Russia and emerging markets
Asia-Pacific	Independent	FTTH ONT/router; ISP CPE	ISP CPE / broadband gateway	Active	India-based CPE/ONU brand for regional broadband operators
Middle East & Africa	Independent	Consumer / ISP CPE	ISP CPE / broadband gateway	Active	Turkish networking equipment brand
Europe	Zollner Elektronik	Vehicle; Rail; Industrial	Specialised (military / satellite / mobility)	Active	Rugged routers for rail, transit and utilities
North America	Motorola (2007)	Legacy DSL CPE	Legacy / acquired	Defunct	DSL gateway maker
Asia-Pacific	Unisplendour (Tsinghua Unigroup)	Enterprise; SP; Data centre	Data centre / disaggregated / silicon	Active	Originated as the Huawei-3Com JV; HPE exited its stake in 2024
Asia-Pacific	Lenovo-linked spinoff	Consumer Wi-Fi	Consumer / retail	Dormant	Lenovo-affiliated router brand, largely inactive
Asia-Pacific	Independent	Industrial; IoT	Industrial / IoT	Active	IIoT gateways and network appliances
North America	Netgear	Consumer Wi-Fi; Gaming; 5G	Cellular / 5G / mobile	Active	Sub-brand: Netgear's performance and gaming router line
Europe	Independent (HEL: NOKIA)	SP core; SP edge; BNG; Data centre; ISP CPE	ISP CPE / broadband gateway	Active	7750 SR, 7250 IXR, 7220 IXR, SR Linux; consistently #2-3 globally
Europe	Nokia	Data centre NOS	Data centre / disaggregated / silicon	Active	Open, model-driven NOS for datacentre routing
North America	Liquidated 2009-11	Legacy SP and enterprise	Legacy / acquired	Defunct	Assets to Ericsson, Avaya, Ciena, Genband and others
North America	Gen Digital (ex-Symantec)	Security router	Consumer / retail	Defunct	Security-focused consumer router, discontinued c.2020
Europe	Nokia	SD-WAN; SDN	Enterprise / SD-WAN	Active	Nokia's SD-WAN and datacentre SDN unit
Europe	PPF	ISP CPE	ISP CPE / broadband gateway	Brand-only	Czech telco branded router
North America	Calix (2011)	Legacy SP access	Legacy / acquired	Defunct	Broadband access systems
Asia-Pacific	TP-Link	Prosumer / SMB Wi-Fi	SMB / prosumer	Active	Sub-brand: TP-Link's cloud-managed SMB networking line
Asia-Pacific	Independent	Industrial	Industrial / IoT	Active (niche)	Factory network routers and gateways
Middle East & Africa	Ooredoo	ISP CPE	ISP CPE / broadband gateway	Brand-only	Gulf operator branded gateways
Europe	Independent	Managed SD-WAN / SASE	Enterprise / SD-WAN	Active	Managed SASE service provider
Oceania	Digi International	Out-of-band; Industrial	Industrial / IoT	Active	Console servers and cellular out-of-band routers
Global / multi-country	Community (Software Freedom Conservancy)	Open-source firmware	Enterprise / SD-WAN	Active	The dominant third-party router firmware; also the OpenWrt One hardware
Europe	Wound down	Cellular	Cellular / 5G / mobile	Defunct	Early 3G/4G router and modem maker
Oceania	Singtel	ISP CPE	ISP CPE / broadband gateway	Brand-only	Australian telco branded gateway
Europe	Orange	ISP CPE	ISP CPE / broadband gateway	Brand-only	Orange's branded gateway line across many countries
Europe	Orange Polska	ISP CPE	ISP CPE / broadband gateway	Brand-only	Polish telco branded router
North America	GI Partners	Satellite IoT	Specialised (military / satellite / mobility)	Active	Satellite IoT routers and terminals
North America	Netgear	Mesh	Consumer / retail	Active	Sub-brand: Netgear's premium mesh Wi-Fi system line
North America	Independent (licensed brand)	4G/5G CPE	Cellular / 5G / mobile	Active (niche)	Verizon-focused hotspot and CPE brand
Asia-Pacific	Independent	Industrial; Rail	Industrial / IoT	Active	Rugged industrial Ethernet routers and switches
Europe	Arris (2016), now CommScope	Legacy ISP CPE; STB	ISP CPE / broadband gateway	Brand retired	UK set-top and gateway maker
North America	Blue Coat (2008)	Legacy WAN shaping	Legacy / acquired	Defunct	WAN traffic shaping appliances
North America	Curtiss-Wright	Military	Specialised (military / satellite / mobility)	Active	PacStar 400/500 series tactical communication modules
North America	Independent (NASDAQ: PANW)	SD-WAN; SASE	Enterprise / SD-WAN	Active	Prisma SD-WAN, ex-CloudGenix (2020)
North America	Zhone (2005)	Legacy DSL CPE	Legacy / acquired	Defunct	DSL and modem pioneer
Latin America	Furukawa Electric	SP access; ISP CPE	ISP CPE / broadband gateway	Active	Brazilian networking equipment brand
Asia-Pacific	Independent	ODM / EMS	ODM / white-label	Active	Major ODM producing routers and CPE
Asia-Pacific	Independent	SD-WAN; Branch; Mobile	Enterprise / SD-WAN	Active	SpeedFusion bonded SD-WAN routers
Asia-Pacific	Independent	SD-WAN; Vehicle; Marine; Cellular	Specialised (military / satellite / mobility)	Active	SpeedFusion bonding; Pepwave is the mobile/marine sub-brand
North America	Independent	Military; MANET	Specialised (military / satellite / mobility)	Active	MPU5 MANET radio-router
Asia-Pacific	Wound down c.2019	Consumer Wi-Fi	Consumer / retail	Defunct	K2/K2P routers were hugely popular before the parent collapsed
Europe	Independent	Industrial; Utility/SCADA	Industrial / IoT	Active	FL mGuard secure industrial routers
North America	Independent	Whitebox NOS	Data centre / disaggregated / silicon	Active	PICOS network operating system
Asia-Pacific	Independent	Enterprise; ADC	Enterprise / SD-WAN	Active	Application delivery and security-routing vendor
Europe	Sold 2011, renamed Incaa Networks	Legacy ISP CPE	ISP CPE / broadband gateway	Defunct	Italian CPE maker used by Sky Italia and Telecom Italia
Asia-Pacific	Independent (TWSE: 6263)	SMB; Industrial	Industrial / IoT	Active	Taiwanese networking brand across SMB and industrial
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Niche Japanese Wi-Fi/networking brand
Asia-Pacific	PLDT	ISP CPE	ISP CPE / broadband gateway	Brand-only	Philippine ISP branded fibre router
Europe	Absorbed into Marconi/Siemens	Legacy SP	Legacy / acquired	Defunct	British telecom equipment lineage
North America	Independent	Managed Wi-Fi; Mesh	Consumer / retail	Active	Adaptive Wi-Fi platform sold direct and through ISPs
North America	Wound down	Legacy SP core	Legacy / acquired	Defunct	Terabit router startup
Europe	BT Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	UK ISP branded router
Latin America	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Brazilian PC maker with router products
North America	Cisco (2004)	Legacy SP core	Legacy / acquired	Defunct	Core router startup absorbed by Cisco
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Southeast Asian budget/mid Wi-Fi brand
Europe	Independent	Cellular	Cellular / 5G / mobile	Brand-only	Rebadged OEM 4G/5G routers for the UK market
North America	Wound down late 1990s	Legacy enterprise	Legacy / acquired	Defunct	Token Ring era router pioneer
Europe	Proximus	ISP CPE	ISP CPE / broadband gateway	Brand-only	Belgian telco branded router
Asia-Pacific	PTCL / e&	ISP CPE	ISP CPE / broadband gateway	Brand-only	Pakistani incumbent branded gateways
Asia-Pacific	Qihoo 360	Security router	Consumer / retail	Active (niche)	Chinese security company's consumer router line
Asia-Pacific	QNAP Systems	Mesh; SMB	SMB / prosumer	Active (niche)	NAS maker's mesh and SD-WAN router line
Russia & CIS	Independent	Enterprise; SP	Enterprise / SD-WAN	Active	Russian networking brand, largely OEM-sourced
North America	Independent	Router silicon	Data centre / disaggregated / silicon	Active	Networking SoCs in a large share of consumer routers
Asia-Pacific	Quanta Computer	Whitebox ODM	ODM / white-label	Active	ODM datacentre networking hardware
Europe	Independent	Utility/SCADA; Industrial	Industrial / IoT	Active	RipEX radio routers for SCADA telemetry
Middle East & Africa	Independent (RAD Group)	SP access; Enterprise edge; Industrial	Industrial / IoT	Active	Edge access devices and industrial cellular routers
Middle East & Africa	Independent	Fixed wireless	Other	Active	Fixed wireless broadband CPE and routers
Middle East & Africa	Rain	ISP CPE	ISP CPE / broadband gateway	Brand-only	South African 4G/5G ISP branded router
Asia-Pacific	Independent	SP access; Aggregation	Service provider	Active	Carrier access and aggregation routers
Asia-Pacific	Rakuten Mobile	4G/5G hotspot	Cellular / 5G / mobile	Brand-only	Rakuten Mobile's branded pocket Wi-Fi
Asia-Pacific	Razer	Gaming Mesh	Consumer / retail	Defunct	Razer's short-lived gaming mesh router
Asia-Pacific	Realme / BBK Electronics	Consumer Wi-Fi	Consumer / retail	Active (niche)	Smartphone maker's router line, sold in India/Indonesia
Asia-Pacific	Independent	Router silicon	Data centre / disaggregated / silicon	Active	Low-cost router and switch SoCs
North America	Spectris	Industrial; Utility/SCADA	Industrial / IoT	Active	Protocol gateways and rugged routers; owns Sixnet
North America	Ericsson (2007)	Legacy SP edge / BNG	Legacy / acquired	Defunct	SmartEdge BRAS line; Ericsson exited c.2016
Asia-Pacific	Xiaomi	Consumer Wi-Fi	Consumer / retail	Active	Xiaomi's budget router sub-brand
Asia-Pacific	Ruijie Networks	Consumer / SMB Wi-Fi	SMB / prosumer	Active	Ruijie's consumer/SMB sub-brand
North America	Independent (NASDAQ: RBBN)	IP optical; SP edge	Service provider	Active	Neptune and Apollo lines via the ECI merger
North America	Vector Capital	SD-WAN; WAN optimisation	Enterprise / SD-WAN	Active	SteelConnect; legacy WAN optimisation heritage
North America	Lucent (2006)	Legacy SP edge	Legacy / acquired	Defunct	Cabletron spinoff; assets went to Lucent
Asia-Pacific	Independent	Cellular; Industrial; Utility/SCADA	Industrial / IoT	Active	Rugged M2M routers with SCADA protocol support
Asia-Pacific	Asus	Gaming	Consumer / retail	Active	Sub-brand: Republic of Gamers gaming router line
Europe	Independent	Military; Enterprise (Lancom)	Specialised (military / satellite / mobility)	Active	SecuROUTE tactical IP routers; owns Lancom
North America	Newegg	Consumer Wi-Fi	Consumer / retail	Brand-only	Newegg house brand including basic routers
Russia & CIS	Rostelecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	State telco branded ONT-router from Eltex, Zyxel, Huawei
Russia & CIS	Independent	Consumer; ISP CPE	ISP CPE / broadband gateway	Active (niche)	Russian home networking and CPE brand
Europe	Independent	Disaggregated BNG	Service provider	Active	FullStack software for disaggregated broadband gateways
North America	Siemens	Industrial; Utility/SCADA	Industrial / IoT	Active	Substation-hardened routers; IEEE 1613 / IEC 61850
Asia-Pacific	Independent (SSE STAR: 301165)	Enterprise; SMB; Consumer	Enterprise / SD-WAN	Active	Major Chinese enterprise networking vendor
Middle East & Africa	Safaricom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Kenyan operator branded routers
Europe	Independent	ISP CPE	ISP CPE / broadband gateway	Active	Major European ISP-gateway ODM and own brand
Asia-Pacific	Samsung Electronics	Mesh	Consumer / retail	Defunct	Plume-powered mesh Wi-Fi, discontinued
Asia-Pacific	Samsung	Mobile transport; SP edge	Service provider	Active (niche)	Mainly RAN; some IP transport and edge routing
Asia-Pacific	Independent	SD-WAN; Enterprise	Enterprise / SD-WAN	Active	SD-WAN and security appliance vendor
Asia-Pacific	Independent	Satellite; Marine	Specialised (military / satellite / mobility)	Active	Satellite and microwave communication routers
Europe	Independent	Utility/SCADA	Industrial / IoT	Active	Radio modems and routers for telemetry
Europe	Schneider Electric	Industrial	Industrial / IoT	Active	ConneXium industrial routers and switches
North America	Cisco (2006)	Legacy cable CPE	ISP CPE / broadband gateway	Defunct	Cable systems and CPE maker
North America	Independent	Consumer Wi-Fi; Mesh	Consumer / retail	Active (niche)	Touchscreen Almond router line
North America	Independent (NASDAQ: SMTC)	Cellular; IoT	Industrial / IoT	Active	Owns Sierra Wireless AirLink router line
Asia-Pacific	Independent	ODM / ISP CPE	ODM / white-label	Active	ODM for many carrier and retail routers
Europe	Altice France	ISP CPE	ISP CPE / broadband gateway	Brand-only	French ISP branded gateway
Asia-Pacific	Independent	ODM / EMS	ODM / white-label	Active	Contract manufacturer for TP-Link, Xiaomi and others
North America	Intel (1999)	Legacy remote access	Legacy / acquired	Defunct	Remote access and VPN router pioneer
Europe	Nokia Siemens Networks JV (2007)	Legacy SP	Legacy / acquired	Divested	Carrier comms moved into the Nokia JV
Europe	Siemens AG	Industrial; Cellular	Industrial / IoT	Active	Scalance M/S/SC industrial routers and firewalls
North America	Semtech	Cellular; Vehicle; Industrial	Specialised (military / satellite / mobility)	Active	AirLink RV/MG/XR rugged routers; acquired by Semtech 2023
Middle East & Africa	Independent	uCPE / network appliances	Data centre / disaggregated / silicon	Active	Edge networking appliances and SmartNICs
North America	HPE Aruba	SD-WAN	Enterprise / SD-WAN	Brand retired	Acquired 2020; became Aruba EdgeConnect
North America	Independent	Military; MANET	Specialised (military / satellite / mobility)	Active	StreamCaster MANET radio-routers
Europe	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Dutch networking brand popular in Benelux
North America	Red Lion / Spectris	Industrial; Utility/SCADA	Industrial / IoT	Brand absorbed	Rugged router line folded into Red Lion
Europe	Sky / Comcast	ISP CPE	ISP CPE / broadband gateway	Brand-only	UK ISP branded router
North America	Independent	Travel hotspot	Cellular / 5G / mobile	Active	Travel Wi-Fi hotspot brand marketed as Solis
Asia-Pacific	Skyworth Group	ODM; ISP CPE; STB	ODM / white-label	Active	Supplies China Telecom/Mobile and exports gateways
Asia-Pacific	Sri Lanka Telecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	State telco branded ONT-routers
North America	Wound down 2024	Aviation	Specialised (military / satellite / mobility)	Defunct	Air-to-ground connectivity, ceased operations
North America	Dormant	Legacy consumer / SMB	Legacy / acquired	Brand-only	Historic US networking brand, largely inactive
Russia & CIS	Independent	Enterprise; SP	Enterprise / SD-WAN	Active	SNR-branded routers and switches
North America	Linux Foundation (originated at Microsoft)	Open NOS	Data centre / disaggregated / silicon	Active	Open-source NOS now the base for many DC routers
North America	Francisco Partners	SMB/branch; SD-WAN	Enterprise / SD-WAN	Active	SMB firewall-router appliances
Europe	Thoma Bravo	SMB/branch; SD-WAN	Enterprise / SD-WAN	Active	XGS firewall appliances with SD-WAN routing
Oceania	Spark New Zealand	ISP CPE	ISP CPE / broadband gateway	Brand-only	NZ telco branded router
Middle East & Africa	Spectranet	ISP CPE	ISP CPE / broadband gateway	Brand-only	Nigerian ISP branded LTE routers
North America	Charter Communications	ISP CPE	ISP CPE / broadband gateway	Brand-only	Charter branded cable modem-router
Europe	ST Engineering	Satellite	Specialised (military / satellite / mobility)	Active	VSAT satellite routers for enterprise and maritime
North America	SpaceX	Satellite CPE	Specialised (military / satellite / mobility)	Active	Ships its own Wi-Fi router with every terminal
North America	Starry Inc.	Consumer Wi-Fi	Consumer / retail	Defunct	Design-led touchscreen router, discontinued
North America	Independent	Prosumer / Travel	Cellular / 5G / mobile	Active (niche)	Mostly connectivity; a few travel routers
Middle East & Africa	stc Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	Saudi telco branded routers and 5G CPE
Asia-Pacific	Independent	SP access; Optical; FTTH CPE	ISP CPE / broadband gateway	Active	Optical fibre plus networking and Garuda routers
Europe	Independent	Consumer Wi-Fi; STB	Consumer / retail	Active (niche)	Austrian consumer electronics brand, EU and Africa retail
Europe	Sunrise	ISP CPE	ISP CPE / broadband gateway	Brand-only	Swiss ISP branded gateway
Europe	Independent	Consumer Wi-Fi; STB	Consumer / retail	Dormant	Dutch budget electronics/networking brand
Europe	Swisscom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Swiss ISP branded home gateway
Asia-Pacific	Independent	Consumer Wi-Fi; Mesh	Consumer / retail	Active	NAS maker's RT/MR router line with SRM firmware
North America	Merged into Bay Networks 1994	Legacy enterprise	Legacy / acquired	Defunct	Ethernet hub and router pioneer
Asia-Pacific	Independent	FTTH ONT/router	ISP CPE / broadband gateway	Active	Popular Indian GPON ONU-router brand for local ISPs
Europe	Independent	Military	Specialised (military / satellite / mobility)	Active	SitaWare tactical communications systems
North America	T-Mobile US	5G FWA CPE	Cellular / 5G / mobile	Brand-only	5G home gateways from Arcadyan, Askey and Sagemcom
Russia & CIS	Independent	Optical/DWDM with packet	Service provider	Active	Russian DWDM and packet-optical vendor
North America	Oracle	SD-WAN	Enterprise / SD-WAN	Discontinued	Acquired by Oracle 2018; product later wound down
Europe	TalkTalk	ISP CPE	ISP CPE / broadband gateway	Brand-only	UK ISP branded router
Asia-Pacific	TP-Link	Consumer Wi-Fi; Smart home	Consumer / retail	Active	Sub-brand: budget smart-home and entry Wi-Fi devices
Middle East & Africa	Telecommunication Company of Iran	ISP CPE	ISP CPE / broadband gateway	Brand-only	Iranian state telco branded modem-routers, locally assembled
Europe	Independent (renamed Vantiva 2022-23)	ISP CPE	ISP CPE / broadband gateway	Active	One of the largest global CPE suppliers; ex-Thomson lineage
Asia-Pacific	Tata Group (Panatone)	SP access; Optical; Routing	Service provider	Active	India's largest listed telecom equipment maker
Middle East & Africa	BATM Advanced Communications	Carrier Ethernet; vCPE	Service provider	Active	Long-running BATM subsidiary
Europe	Independent	Enterprise branch; SD-WAN	Enterprise / SD-WAN	Active	Spanish router and SD-WAN vendor; owns bintec elmeg
Latin America	Telecom Argentina	ISP CPE	ISP CPE / broadband gateway	Brand-only	Argentine telco branded router
