Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1aSfk5kGRoA_1Vwuk0YP-78fX2zdCPrg6hOMJE0GDYxQ/export?format=csv&gid=119752031

---

Brand,Country of origin,Region,Parent company / owner,Segment(s),Category,Status,Notes
Force10 Networks,USA,North America,Dell (2011),Legacy DC routing,Legacy / acquired,Brand retired,Became Dell Networking
Fortinet,USA,North America,Independent (NASDAQ: FTNT),SD-WAN; Enterprise branch; SASE; Consumer (Linksys),Enterprise / SD-WAN,Active,FortiGate Secure SD-WAN; also now owns Linksys outright
Foundry Networks,USA,North America,"Brocade (2008), then Broadcom",Legacy SP and enterprise,Legacy / acquired,Defunct,NetIron and BigIron routers
Four-Faith,China,Asia-Pacific,Independent (SZSE: 300810),Cellular; Industrial,Industrial / IoT,Active,Very broad 4G/5G industrial router range
Foxconn / Ingrasys,Taiwan,Asia-Pacific,Hon Hai Precision,Whitebox ODM,ODM / white-label,Active,ODM for hyperscaler routers and switches
Franklin Wireless,USA,North America,Independent (NASDAQ: FKWL),4G/5G CPE; Hotspots,Cellular / 5G / mobile,Active,Carrier-branded hotspot and CPE ODM
Freebox,France,Europe,Iliad / Free,ISP CPE,ISP CPE / broadband gateway,Active,"French ISP's self-designed box, ODM manufactured"
Frontier CPE,USA,North America,Frontier Communications,ISP CPE,ISP CPE / broadband gateway,Brand-only,US fibre ISP branded gateway
FRRouting (FRR),International,Global / multi-country,Linux Foundation,Open routing stack,Other,Active,Underpins many commercial NOS products
Fujitsu,Japan,Asia-Pacific,Independent,SP edge; Optical,Service provider,Active,1FINITY packet-optical and routing platforms
Furukawa Electric,Japan,Asia-Pacific,Independent,SP access; Optical,Service provider,Active,Access and optical networking; owns Brazil's Furukawa Parks
Furuno Electric,Japan,Asia-Pacific,Independent,Marine,Specialised (military / satellite / mobility),Active,Marine electronics with satellite router integration
Garderos,Germany,Europe,MPL AG (Switzerland),Industrial; Utility/SCADA,Industrial / IoT,Active,Secure Linux-based industrial routers
Gargoyle,USA,North America,Community,Open-source firmware,Enterprise / SD-WAN,Active (niche),OpenWrt-derived firmware focused on bandwidth control
GarrettCom,USA,North America,Belden,Industrial; Utility/SCADA,Industrial / IoT,Brand absorbed,Substation-grade rugged routers under Belden
GE Vernova (MDS Orbit),USA,North America,GE Vernova,Utility/SCADA; Industrial,Industrial / IoT,Active,Licensed and unlicensed radio routers for grid telemetry
Gemtek Technology,Taiwan,Asia-Pacific,Independent,ODM / ISP CPE; Consumer,ODM / white-label,Active,Router/CPE ODM with some own-brand sales
General Dynamics Mission Systems,USA,North America,General Dynamics,Military,Specialised (military / satellite / mobility),Active,TACLANE and tactical secure network routing
General Instrument,USA,North America,Motorola (2000),Legacy cable CPE,ISP CPE / broadband gateway,Defunct,Cable modem and set-top pioneer
Genexis,Netherlands,Europe,Independent,ISP CPE; FTTH,ISP CPE / broadband gateway,Active,"FTTH CPE and residential gateways, with Indian manufacturing"
Genexis Sweden,Sweden,Europe,Genexis,ISP CPE,ISP CPE / broadband gateway,Active,Acquired parts of the Nordic CPE market
Gennum,Canada,North America,Semtech (2012),Networking silicon,Data centre / disaggregated / silicon,Brand retired,Analog and video ICs used in networking gear
Gigaset,Germany,Europe,Independent,DSL/Fiber CPE; Smart home,ISP CPE / broadband gateway,Active (niche),German DECT phone maker with routers and gateways
Gilat Satellite Networks,Israel,Middle East & Africa,Independent,Satellite,Specialised (military / satellite / mobility),Active,VSAT satellite routers and hubs
GL.iNet,China (Hong Kong),Asia-Pacific,Independent,Travel; IoT; Prosumer,Industrial / IoT,Active,Leading travel/portable router brand; OpenWrt-based
Globe At Home,Philippines,Asia-Pacific,Globe Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Philippine ISP branded home router
GlocalMe,China,Asia-Pacific,UCloudlink,Travel hotspot,Cellular / 5G / mobile,Active,Global travel MiFi/eSIM hotspot brand
Gogo,USA,North America,Independent (NASDAQ: GOGO),Aviation,Specialised (military / satellite / mobility),Active,Inflight connectivity routers and air-to-ground systems
Google,USA,North America,Alphabet,Cloud DC / WAN in-house,Data centre / disaggregated / silicon,Active,"Jupiter fabrics and B4 WAN, custom routing software"
Google Fiber Wi-Fi,USA,North America,Alphabet,ISP CPE,ISP CPE / broadband gateway,Brand-only,Google Fiber branded gateway
Google Nest Wifi,USA,North America,Alphabet / Google,Mesh,Consumer / retail,Active,Google's current mesh Wi-Fi line (Nest Wifi Pro)
Google OnHub,USA,North America,Alphabet / Google,Consumer Wi-Fi,Consumer / retail,Defunct,2015-16 Google-designed router built by TP-Link and Asus
Google Wifi,USA,North America,Alphabet / Google,Mesh,Consumer / retail,Discontinued,Predecessor to Nest Wifi
Graphiant,USA,North America,Independent,NaaS / virtual router,Enterprise / SD-WAN,Active,Network Edge service positioned against MPLS routers
Greatek,Brazil,Latin America,Independent,FTTH ONT/router,ISP CPE / broadband gateway,Active,Brazilian FTTH ONU/networking brand
Gryphon,USA,North America,Independent,Mesh; Parental controls,Consumer / retail,Active (niche),Parental-control-focused mesh router brand
H3C Magic,China,Asia-Pacific,New H3C Group,Consumer Wi-Fi,Consumer / retail,Active,Consumer sub-brand of enterprise vendor H3C
Handreamnet,South Korea,Asia-Pacific,Independent,Enterprise; SP,Enterprise / SD-WAN,Active,Korean networking equipment manufacturer
Harmonic,USA,North America,Independent (NASDAQ: HLIT),vCMTS; BNG-adjacent,Service provider,Active,"Virtualised cable access, CMTS/BNG functions"
Hathway CPE,India,Asia-Pacific,Hathway Cable & Datacom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Indian cable broadband ISP branded gateway
Hawking Technology,USA,North America,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Long-running budget US Wi-Fi brand
Hewlett Packard Enterprise (HPE Networking),USA,North America,Independent (NYSE: HPE),Enterprise; SD-WAN; Data centre,Data centre / disaggregated / silicon,Active,Now the umbrella for Aruba and Juniper
HFCL Limited,India,Asia-Pacific,Independent,SP routing; Wi-Fi; BharatNet,Consumer / retail,Active,"Indian router and Wi-Fi manufacturer, BharatNet supplier"
HFR Networks,South Korea,Asia-Pacific,Independent,Optical; SP access,Service provider,Active,Optical transport and access networking
Hirschmann,Germany,Europe,Belden,Industrial; Rail,Industrial / IoT,Active,EAGLE and BAT industrial secure routers
Hitachi,Japan,Asia-Pacific,Independent,SP (legacy routing),Legacy / acquired,Legacy,"Historic IP router lines, now largely exited"
Hitron Technologies,Taiwan / Canada,Asia-Pacific,Independent,Cable CPE,ISP CPE / broadband gateway,Active,Cable modem-router brand popular with North American ISPs
HMS Networks,Sweden,Europe,Independent (STO: HMS),Industrial; IoT,Industrial / IoT,Active,Owns the eWON remote-access router brand
Hon Hai / Foxconn,Taiwan,Asia-Pacific,Independent,ODM / EMS,ODM / white-label,Active,World's largest EMS; builds CPE for many brands
Hongdian,China,Asia-Pacific,Independent,Cellular; Utility/SCADA,Industrial / IoT,Active,"Routers for utility, oil and gas telemetry"
Honor,China,Asia-Pacific,"Independent (Shenzhen Zhixin, spun off from Huawei 2020)",Consumer Wi-Fi,Consumer / retail,Active,Honor Router X series
HPE Aruba Networking,USA,North America,Hewlett Packard Enterprise,Enterprise branch; SD-WAN,Enterprise / SD-WAN,Active,EdgeConnect SD-WAN (ex-Silver Peak); Aruba acquired by HP 2015
Huawei,China,Asia-Pacific,Independent (employee-owned),Consumer Wi-Fi; ISP CPE; 5G CPE,ISP CPE / broadband gateway,Active,WS/AX-series home routers plus the world's largest ISP CPE business
Huawei Technologies,China,Asia-Pacific,Independent (employee-owned),SP core; SP edge; Enterprise; Data centre; Industrial,Industrial / IoT,Active,"NetEngine, AR, CloudEngine; #1 or #2 in global router revenue"
Hughes Network Systems,USA,North America,EchoStar,Satellite,Specialised (military / satellite / mobility),Active,HX and JUPITER satellite routers
Humax,South Korea,Asia-Pacific,Independent,ISP CPE; STB gateways,ISP CPE / broadband gateway,Active,Korean CPE/STB maker supplying operator gateways globally
I-O DATA,Japan,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Japanese PC-peripheral maker with Wi-Fi router range
iBall,India,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Indian consumer electronics brand with budget routers
Icon SI,Slovenia,Europe,Independent,Industrial; Cellular,Industrial / IoT,Active (niche),European industrial cellular router maker
ICP DAS,Taiwan,Asia-Pacific,Independent,Industrial; IoT,Industrial / IoT,Active,IIoT gateways and routers for automation
Ikanos Communications,USA,North America,Qualcomm (2015),CPE silicon,Data centre / disaggregated / silicon,Defunct,DSL and VDSL chipsets
IndiHome CPE,Indonesia,Asia-Pacific,Telkom Indonesia,ISP CPE,ISP CPE / broadband gateway,Brand-only,State telco branded ONT-router
Infinera,USA,North America,Nokia,Optical transport,Service provider,Brand absorbed,Nokia completed the $2.3bn acquisition in February 2025
InHand Networks,China,Asia-Pacific,Independent,Industrial; Cellular; IoT,Industrial / IoT,Active,IR and VG series industrial IoT routers
Inseego,USA,North America,Independent (NASDAQ: INSG),4G/5G CPE; Hotspots,Cellular / 5G / mobile,Active,Owns the MiFi trademark; ex-Novatel Wireless
Inspur,China,Asia-Pacific,Independent,Data centre networking,Data centre / disaggregated / silicon,Active,Primarily servers; some DC networking gear
Insys icom,Germany,Europe,Independent,Industrial; Cellular,Industrial / IoT,Active,"M2M/IIoT cellular routers, strong in German industry"
Intelbras,Brazil,Latin America,Independent (B3: INTB3),Consumer; Mesh; SMB; FTTH CPE,ISP CPE / broadband gateway,Active,"Major Brazilian networking, security and telecom brand"
Intellian Technologies,South Korea,Asia-Pacific,Independent,Marine; Satellite,Specialised (military / satellite / mobility),Active,Marine VSAT antennas with network routing
Intellinet,Ireland,Europe,IC Intracom,Consumer / Prosumer,SMB / prosumer,Active (niche),IC Intracom sister networking brand
Inteno,Sweden,Europe,Bankrupt 2019,ISP CPE,ISP CPE / broadband gateway,Defunct,Swedish CPE maker; Iopsys software lineage lives on
Intex Technologies,India,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Indian consumer electronics brand with routers
Inventec,Taiwan,Asia-Pacific,Independent,ODM / EMS,ODM / white-label,Active,Electronics ODM with networking lines
IOGear,USA,North America,Independent,Consumer / Prosumer,SMB / prosumer,Active (niche),KVM/peripherals brand with some router products
IP Infusion,USA / Japan,North America,ACCESS Co.,Disaggregated NOS,Data centre / disaggregated / silicon,Active,OcNOS runs on many whitebox routers
IP-COM,China,Asia-Pacific,Tenda group,Prosumer / SMB Wi-Fi,SMB / prosumer,Active,Chinese Wi-Fi networking export brand
IPFire,Germany,Europe,Community project,Open-source router/firewall,Enterprise / SD-WAN,Active,Hardened Linux firewall-router distribution
ipTIME,South Korea,Asia-Pacific,EFM Networks,Consumer Wi-Fi,Consumer / retail,Active,Dominant South Korean home router brand
Iridium Communications,USA,North America,Independent (NASDAQ: IRDM),Satellite,Specialised (military / satellite / mobility),Active,GO! and Certus router-hotspot terminals
iRZ Electronics,Russia,Russia & CIS,Independent,Cellular; Industrial,Industrial / IoT,Active,M2M and industrial LTE routers
ITI Limited,India,Asia-Pacific,Government of India (PSU),SP; BharatNet,Other,Active,"PSU manufacturer, BharatNet router partner with HFCL"
JCG,China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Chinese budget router brand
JioFi / JioFiber CPE,India,Asia-Pacific,Reliance Jio,4G/5G CPE; FTTH CPE,ISP CPE / broadband gateway,Brand-only,"Jio-branded hotspots and ONT-routers, OEM and in-house designs"
Juniper Mist,USA,North America,HPE / Juniper Networks,Enterprise WLAN; AI-driven networking,Enterprise / SD-WAN,Active,AI-native Wi-Fi brand acquired by Juniper in 2019
Juniper Networks,USA,North America,Hewlett Packard Enterprise (acquired July 2025),SP edge; SP core; Data centre; Enterprise,Service provider,Active,"MX, PTX, ACX, SRX; HPE closed the $14bn acquisition 2 July 2025"
Juniper Session Smart Routing,USA,North America,HPE / Juniper,SD-WAN,Enterprise / SD-WAN,Active,"Ex-128 Technology, acquired 2020"
Kaon Media,South Korea,Asia-Pacific,Independent,ODM; ISP CPE; STB,ODM / white-label,Active,Korean CPE and STB maker supplying global operators
Kasda,China,Asia-Pacific,Independent,Consumer / DSL CPE,Consumer / retail,Active (niche),Chinese budget router/modem exporter
Keenetic,"Russia / international HQ (Latvia, Singapore)",Russia & CIS,Independent,Consumer Wi-Fi,Consumer / retail,Active,Spun out of Zyxel's Russian operations c.2019; dominant in Russia/CIS
Klas Telecom,Ireland / USA,Europe,Independent,Military; Vehicle,Specialised (military / satellite / mobility),Active,Voyager and TDMR modular tactical routers
Kontron,Germany / Austria,Europe,Kontron AG,Industrial; IoT,Industrial / IoT,Active,Edge computing gateways marketed as routers
Korenix Technology,Taiwan,Asia-Pacific,Beijer Electronics,Industrial,Industrial / IoT,Active,DIN-rail industrial routers and switches
KPN Experia Box,Netherlands,Europe,KPN,ISP CPE,ISP CPE / broadband gateway,Brand-only,Dutch telco branded router
Kroks,Russia,Russia & CIS,Independent,Cellular,Cellular / 5G / mobile,Active,LTE routers with integrated modems and antennas
KT CPE,South Korea,Asia-Pacific,KT Corporation,ISP CPE,ISP CPE / broadband gateway,Brand-only,Korean incumbent branded gigabit gateway
KVH Industries,USA,North America,Independent,Marine; Satellite,Specialised (military / satellite / mobility),Active,Marine VSAT with integrated IP routing
Kyivstar CPE,Ukraine,Russia & CIS,Kyivstar / VEON,ISP CPE,ISP CPE / broadband gateway,Brand-only,Ukrainian ISP branded router
Kyland Technology,China,Asia-Pacific,Independent (SSE: 300353),Industrial; Rail,Industrial / IoT,Active,Industrial network routers and switches
Lancom Systems,Germany,Europe,Rohde & Schwarz,Enterprise branch; SMB; SD-WAN,Enterprise / SD-WAN,Active,"German enterprise VPN router vendor, strong public-sector base"
Lanner Electronics,Taiwan,Asia-Pacific,Independent,uCPE / network appliances,Data centre / disaggregated / silicon,Active,Whitebox appliances widely used as SD-WAN routers
Lantech Communications Global,Taiwan,Asia-Pacific,Independent,Industrial,Industrial / IoT,Active,Industrial Ethernet routers and switches
Lantiq,Germany,Europe,"Intel (2015), then MaxLinear (2020)",CPE silicon,Data centre / disaggregated / silicon,Brand retired,Infineon spinoff; DSL and gateway chipsets
Lantronix,USA,North America,Independent (NASDAQ: LTRX),IoT; Industrial; Out-of-band,Industrial / IoT,Active,Cellular gateways and edge routers
Laurel Networks,USA,North America,Tellabs (2005),Legacy SP edge,Legacy / acquired,Defunct,Edge router startup
LevelOne,Taiwan / Germany,Asia-Pacific,Digital Data Communications,Consumer / SMB,SMB / prosumer,Active (niche),"German-managed, Taiwan-made value networking brand"
LG Uplus CPE,South Korea,Asia-Pacific,LG Corporation,ISP CPE,ISP CPE / broadband gateway,Brand-only,Korean telco branded home gateway
LibreCMC,International,Global / multi-country,Community,Open-source firmware,Enterprise / SD-WAN,Active (niche),FSF-endorsed fully free router firmware
Link3 CPE,Bangladesh,Asia-Pacific,Link3 Technologies,ISP CPE,ISP CPE / broadband gateway,Brand-only,Bangladeshi ISP branded routers
Linksys,USA,North America,Fortinet (wholly owned since Jan 2025),Consumer Wi-Fi; Mesh; SMB,SMB / prosumer,Active,Ownership chain: founders to Cisco (2003) to Belkin (2013) to Foxconn (2018) to Fortinet (2025)
Logitec,Japan,Asia-Pacific,Elecom Group,Consumer Wi-Fi,Legacy / acquired,Active,Japanese networking brand absorbed by Elecom
Lucent Technologies,USA,North America,Nokia (via Alcatel-Lucent),Legacy SP,Legacy / acquired,Brand retired,AT&T spinoff; merged into Alcatel-Lucent 2006
Luma,USA,North America,Wound down,Mesh,Consumer / retail,Defunct,Early crowdfunded mesh Wi-Fi startup
Lumen / CenturyLink CPE,USA,North America,Lumen Technologies,ISP CPE,ISP CPE / broadband gateway,Brand-only,US telco branded modem-router
Lyra,Taiwan,Asia-Pacific,Asus,Mesh,Consumer / retail,Legacy,"Sub-brand: earlier Asus mesh line, superseded by ZenWiFi"
Magyar Telekom CPE,Hungary,Europe,Deutsche Telekom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Hungarian telco branded router
Maipu Communication Technology,China,Asia-Pacific,State-linked (Sichuan),Enterprise; SP edge,Service provider,Active,Major Chinese domestic router and switch manufacturer
Maiwe Communication,China,Asia-Pacific,Independent,Utility/SCADA; Industrial,Industrial / IoT,Active,Power/utility wireless routers and RTUs
Manhattan,Ireland,Europe,IC Intracom,Consumer / Prosumer,SMB / prosumer,Active (niche),IC Intracom house networking brand
Marconi Communications,UK,Europe,Ericsson (2006),Legacy SP,Legacy / acquired,Defunct,Former GEC telecom arm
Maroc Telecom CPE,Morocco,Middle East & Africa,Maroc Telecom / e&,ISP CPE,ISP CPE / broadband gateway,Brand-only,Moroccan incumbent branded gateways
Marvell,USA,North America,Independent,Router and switch silicon,Data centre / disaggregated / silicon,Active,Prestera and OCTEON networking silicon
Matrix Comsec,India,Asia-Pacific,Independent,Industrial; Cellular; Telecom,Industrial / IoT,Active,Indian telecom and security systems maker
MC Technologies,Germany,Europe,Independent,Cellular; Industrial,Industrial / IoT,Active,M2M router and gateway manufacturer
Mecer / Volkano,South Africa,Middle East & Africa,Mustek,Consumer Wi-Fi,Consumer / retail,Active (niche),South African distributor house brands including networking
Medialink,USA,North America,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Budget US retail Wi-Fi brand
MediaTek,Taiwan,Asia-Pacific,Independent,Router silicon,Data centre / disaggregated / silicon,Active,Filogic Wi-Fi 6/7 router SoCs
MEO CPE,Portugal,Europe,Altice Portugal,ISP CPE,ISP CPE / broadband gateway,Brand-only,Portuguese telco branded router/ONT
Meraki Go,USA,North America,Cisco Systems,SMB Wi-Fi,SMB / prosumer,Active,Cisco Meraki's simplified small-business line
Mercury (水星网络),China,Asia-Pacific,TP-Link,Consumer Wi-Fi,Consumer / retail,Active,TP-Link's China-domestic budget sub-brand
Mercusys,China,Asia-Pacific,TP-Link,Consumer Wi-Fi,Consumer / retail,Active,Separate budget-tier brand for emerging markets
Meru Networks,USA,North America,Fortinet (2015),Legacy enterprise WLAN,Legacy / acquired,Defunct,Wi-Fi vendor
Meshforce,China / USA,Asia-Pacific,Independent,Consumer Mesh,Consumer / retail,Active (niche),Budget mesh Wi-Fi brand popular on Amazon
Meta,USA,North America,Meta Platforms,Cloud DC in-house,Data centre / disaggregated / silicon,Active,FBOSS software on OCP whitebox hardware
Metaswitch Networks,UK,Europe,Microsoft,Virtual networking software,Other,Brand absorbed,Acquired 2020
Microdrive,Russia,Russia & CIS,Independent,Cellular; Industrial,Industrial / IoT,Active (niche),Russian industrial cellular router maker
Microsoft,USA,North America,Microsoft,Cloud DC in-house; Open NOS,Data centre / disaggregated / silicon,Active,Created and open-sourced SONiC
MikroTik,Latvia,Europe,Independent,Enterprise; ISP; Prosumer; SMB,Enterprise / SD-WAN,Active,RouterOS; CCR and CHR very widely used by regional ISPs
MilDef Group,Sweden,Europe,Independent (STO: MILDEF),Military,Specialised (military / satellite / mobility),Active,RM-series rugged tactical routers
Milesight,China,Asia-Pacific,Independent,IoT; Cellular; Industrial,Industrial / IoT,Active,IoT sensors plus cellular industrial routers
Minim / FiEE,USA,North America,"FiEE, Inc. (post-merger with e2Companies)",Retail modem-router; Software,Other,Brand dormant,Delisted from Nasdaq in 2024 and merged into FiEE; held the Motorola networking licence
MitraStar Technology,Taiwan,Asia-Pacific,Zyxel group spinoff,ODM / ISP CPE,ODM / white-label,Active,Builds gateways for global operators
Mobily CPE,Saudi Arabia,Middle East & Africa,Etihad Etisalat (Mobily),ISP CPE,ISP CPE / broadband gateway,Brand-only,Saudi operator branded 5G and fibre CPE
MoFi Network,USA,North America,Independent,4G/5G router,Cellular / 5G / mobile,Active (niche),US cellular router brand popular with RV and rural users
Motorola (networking),USA,North America,Brand licensed (formerly to Minim / Zoom Telephonics),Retail cable modem-router,ISP CPE / broadband gateway,Active,Motorola-branded modems and routers sold under trademark licence
Motorola Home,USA,North America,"Arris, then CommScope, then Vantiva (2024)",Legacy ISP CPE,ISP CPE / broadband gateway,Brand retired,Motorola's cable and CPE unit; the lineage now sits inside Vantiva
Movistar / VTR CPE,Chile,Latin America,Telefónica / America Movil,ISP CPE,ISP CPE / broadband gateway,Brand-only,Chilean ISP branded routers
Movistar CPE,Spain,Europe,Telefónica,ISP CPE,ISP CPE / broadband gateway,Brand-only,Spanish telco branded router
Moxa,Taiwan,Asia-Pacific,Independent,Industrial; Utility/SCADA; Rail,Industrial / IoT,Active,Leading DIN-rail industrial secure router brand
Moxee,USA,North America,Franklin Wireless (licensed brand),4G/5G hotspots,Cellular / 5G / mobile,Active (niche),T-Mobile-focused mobile hotspot brand
MSI (RadiX),Taiwan,Asia-Pacific,Micro-Star International,Gaming Wi-Fi,Consumer / retail,Active,RadiX series Wi-Fi 6E/7 gaming routers
MTN CPE,South Africa,Middle East & Africa,MTN Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,Pan-African operator branded MiFi and home routers
MTNL CPE,India,Asia-Pacific,Mahanagar Telephone Nigam (Government of India),ISP CPE,ISP CPE / broadband gateway,Brand-only,State telecom CPE for the Delhi and Mumbai circles
MTS CPE,Russia,Russia & CIS,MTS,ISP CPE,ISP CPE / broadband gateway,Brand-only,Russian operator branded routers
Multi-Tech Systems,USA,North America,Independent,Cellular; Industrial; IoT,Industrial / IoT,Active,MultiConnect M2M cellular routers and gateways
Multilaser,Brazil,Latin America,Independent,Consumer Wi-Fi,Consumer / retail,Active,Large Brazilian consumer electronics brand
NAL Research,USA,North America,Independent,Satellite; Military,Specialised (military / satellite / mobility),Active,Iridium-based satellite router terminals
Nateks,Russia,Russia & CIS,Independent,SP access; Transport,Service provider,Active,Access and transport telecom equipment maker
National Telecom (NT) CPE,Thailand,Asia-Pacific,National Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Thai state telco branded CPE
NEC Aterm,Japan,Asia-Pacific,NEC Platforms,Consumer Wi-Fi; ISP CPE,ISP CPE / broadband gateway,Active,NEC's long-running Japanese home router line
NEC Corporation,Japan,Asia-Pacific,Independent,SP core; SP edge; Optical,Service provider,Active,IP/MPLS routers and optical transport
Netas,Turkey,Middle East & Africa,Independent,SP; Enterprise; Integration,Enterprise / SD-WAN,Active,Turkish telecom equipment maker and integrator
Netberg,Taiwan,Asia-Pacific,Independent,Whitebox hardware,Data centre / disaggregated / silicon,Active,Bare-metal switch/router hardware vendor
NetComm Wireless,Australia,Oceania,DZS Inc.,Fixed wireless; ISP CPE,ISP CPE / broadband gateway,Active,Sold out of Casa Systems' bankruptcy to DZS for $7m in 2024
Netcore (磊科),China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Established Chinese consumer networking brand
Netgate,USA,North America,Independent,Virtual router; Firewall,Enterprise / SD-WAN,Active,pfSense Plus and TNSR software routers and appliances
Netgear,USA,North America,Independent (NASDAQ: NTGR),Consumer Wi-Fi; Mesh; SMB; 5G,Cellular / 5G / mobile,Active,Long-standing US networking brand; Nighthawk/Orbi sub-brands
Netgear ProSAFE / Insight,USA,North America,Netgear,SMB,SMB / prosumer,Active,Sub-brand: Netgear's business networking line
Netis,China,Asia-Pacific,Independent (Netcore group),Consumer Wi-Fi,Consumer / retail,Active,"Budget Chinese Wi-Fi brand, large in Russia and emerging markets"
Netlink,India,Asia-Pacific,Independent,FTTH ONT/router; ISP CPE,ISP CPE / broadband gateway,Active,India-based CPE/ONU brand for regional broadband operators
Netmaster,Turkey,Middle East & Africa,Independent,Consumer / ISP CPE,ISP CPE / broadband gateway,Active,Turkish networking equipment brand
NetModule,Switzerland,Europe,Zollner Elektronik,Vehicle; Rail; Industrial,Specialised (military / satellite / mobility),Active,"Rugged routers for rail, transit and utilities"
Netopia,USA,North America,Motorola (2007),Legacy DSL CPE,Legacy / acquired,Defunct,DSL gateway maker
New H3C Group,China,Asia-Pacific,Unisplendour (Tsinghua Unigroup),Enterprise; SP; Data centre,Data centre / disaggregated / silicon,Active,Originated as the Huawei-3Com JV; HPE exited its stake in 2024
Newifi,China,Asia-Pacific,Lenovo-linked spinoff,Consumer Wi-Fi,Consumer / retail,Dormant,"Lenovo-affiliated router brand, largely inactive"
Nexcom,Taiwan,Asia-Pacific,Independent,Industrial; IoT,Industrial / IoT,Active,IIoT gateways and network appliances
Nighthawk,USA,North America,Netgear,Consumer Wi-Fi; Gaming; 5G,Cellular / 5G / mobile,Active,Sub-brand: Netgear's performance and gaming router line
Nokia,Finland,Europe,Independent (HEL: NOKIA),SP core; SP edge; BNG; Data centre; ISP CPE,ISP CPE / broadband gateway,Active,"7750 SR, 7250 IXR, 7220 IXR, SR Linux; consistently #2-3 globally"
Nokia SR Linux,Finland,Europe,Nokia,Data centre NOS,Data centre / disaggregated / silicon,Active,"Open, model-driven NOS for datacentre routing"
Nomadix,USA,North America,ASSA ABLOY,Hospitality / MDU gateway,Other,Active,Leading hotel and guest-network gateway brand; acquired 2024
Nortel Networks,Canada,North America,Liquidated 2009-11,Legacy SP and enterprise,Legacy / acquired,Defunct,"Assets to Ericsson, Avaya, Ciena, Genband and others"
Norton Core,USA,North America,Gen Digital (ex-Symantec),Security router,Consumer / retail,Defunct,"Security-focused consumer router, discontinued c.2020"
NTT Flet's CPE,Japan,Asia-Pacific,Nippon Telegraph and Telephone,ISP CPE,ISP CPE / broadband gateway,Brand-only,Japan's largest fibre ISP's branded home gateway
Nuage Networks,France / USA,Europe,Nokia,SD-WAN; SDN,Enterprise / SD-WAN,Active,Nokia's SD-WAN and datacentre SDN unit
O2 Czech CPE,Czechia,Europe,PPF,ISP CPE,ISP CPE / broadband gateway,Brand-only,Czech telco branded router
Occam Networks,USA,North America,Calix (2011),Legacy SP access,Legacy / acquired,Defunct,Broadband access systems
Oi CPE,Brazil,Latin America,Oi S.A.,ISP CPE,ISP CPE / broadband gateway,Brand-only,Brazilian telco branded home gateway
Omada,China,Asia-Pacific,TP-Link,Prosumer / SMB Wi-Fi,SMB / prosumer,Active,Sub-brand: TP-Link's cloud-managed SMB networking line
OMRON,Japan,Asia-Pacific,Independent,Industrial,Industrial / IoT,Active (niche),Factory network routers and gateways
Ooredoo CPE,Qatar,Middle East & Africa,Ooredoo,ISP CPE,ISP CPE / broadband gateway,Brand-only,Gulf operator branded gateways
Open Systems AG,Switzerland,Europe,Independent,Managed SD-WAN / SASE,Enterprise / SD-WAN,Active,Managed SASE service provider
Opengear,Australia,Oceania,Digi International,Out-of-band; Industrial,Industrial / IoT,Active,Console servers and cellular out-of-band routers
OpenWrt,International,Global / multi-country,Community (Software Freedom Conservancy),Open-source firmware,Enterprise / SD-WAN,Active,The dominant third-party router firmware; also the OpenWrt One hardware
Optimum CPE,USA,North America,Altice USA,ISP CPE,ISP CPE / broadband gateway,Brand-only,US cable operator branded gateway
Option NV,Belgium,Europe,Wound down,Cellular,Cellular / 5G / mobile,Defunct,Early 3G/4G router and modem maker
Optus CPE,Australia,Oceania,Singtel,ISP CPE,ISP CPE / broadband gateway,Brand-only,Australian telco branded gateway
Orange Livebox,France,Europe,Orange,ISP CPE,ISP CPE / broadband gateway,Brand-only,Orange's branded gateway line across many countries
Orange Polska CPE,Poland,Europe,Orange Polska,ISP CPE,ISP CPE / broadband gateway,Brand-only,Polish telco branded router
Orbcomm,USA,North America,GI Partners,Satellite IoT,Specialised (military / satellite / mobility),Active,Satellite IoT routers and terminals
Orbi,USA,North America,Netgear,Mesh,Consumer / retail,Active,Sub-brand: Netgear's premium mesh Wi-Fi system line
Orbic,USA,North America,Independent (licensed brand),4G/5G CPE,Cellular / 5G / mobile,Active (niche),Verizon-focused hotspot and CPE brand
ORing Industrial Networking,Taiwan,Asia-Pacific,Independent,Industrial; Rail,Industrial / IoT,Active,Rugged industrial Ethernet routers and switches
